ID,QCS,rel_amplitude,period_h,lin_trend,offset_y,phase_offset
237880881,1,0.012565023273956,8.44014053016315,0.021815033898335,589.294737429193,-1.55852264822684
237880881,2,0.012541518942193,8.43155092474404,-0.004058699503933,641.593751447357,26.4977694980337
44984200,8,0.005241608324255,2.71134948154441,-5.24975755557717,9221.81442750187,6.43649000247083
44984200,9,0.004885448682995,2.71137346433521,-1.49758471933058,2775.19632377236,-7.29387452125397
44984200,10,0.004894575656486,2.7114843822241,-2.49899813596207,5643.38930675415,21.7583379813845
277539431,12,0.005432627355324,4.55676482331195,-0.105034039137252,952.266702408589,28.5623918192346
300741820,1,0.00679876566713,3.16699789968886,-3.71946956848683E-05,395.270925952659,24.4733774106046
300741820,2,0.006925293976149,3.16802571927851,-0.002844723416852,408.525334420541,9.37521263768336
300741820,4,0.007821790364351,3.16779703923844,0.047839368382999,335.064205084173,12.8289560971366
300741820,5,0.007803326738533,3.16986792264398,0.00951668772511,418.947497793546,-33.0307102534205
300741820,6,0.00821171187596,3.16744843158646,-0.000505188576771,415.825296795412,29.8050580574112
300741820,7,0.008224774171588,3.16812482495032,-0.005500111331793,439.778626658343,11.0763773491726
300741820,8,0.007232514143406,3.16867301728187,-0.127683224276233,601.750187312042,-4.70518237433297
300741820,9,0.007727154077961,3.16982059358877,-0.00160526156922,415.06341031426,-31.8715122819667
300741820,10,0.007304896582033,3.16888219454246,-0.001051626315497,420.126392474748,-5.87482884029413
300741820,11,0.006914121526872,3.16932982693334,0.006804034185511,403.793101283666,-23.2402084531624
300741820,12,0.007030656221035,3.16906331766935,0.001961088088386,410.901054238386,-23.6117827378492
300741820,13,0.006833353108648,3.16779108969128,-0.001325815600573,415.129600152893,18.6263885023267
452922110,7,0.005828524713555,4.23285187393567,0.00365122283559,308.029013606751,-13.9973369363954
